title,genre,overview
Avatar,Action Adventure,"A marine travels to Pandora and becomes part of the Na'vi world."
Titanic,Romance Drama,"A young couple falls in love aboard the ill-fated Titanic."
The Dark Knight,Action Crime,"Batman battles the Joker to save Gotham City."
Inception,Sci-Fi Thriller,"A thief enters dreams to steal and plant ideas."
Interstellar,Sci-Fi Adventure,"Astronauts travel through a wormhole to save humanity."
The Matrix,Sci-Fi Action,"A hacker discovers the truth about reality."
The Avengers,Action Superhero,"Earth's heroes unite to stop Loki."
Iron Man,Action Superhero,"A billionaire engineer builds a powerful suit."
Doctor Strange,Fantasy Action,"A surgeon becomes the Sorcerer Supreme."
Black Panther,Action Adventure,"The king of Wakanda protects his nation."
Thor,Fantasy Action,"The God of Thunder protects Earth."
Captain America,Action Adventure,"A super soldier fights for freedom."
Spider-Man: Homecoming,Action Adventure,"A teenager balances school and superhero life."
Guardians of the Galaxy,Sci-Fi Adventure,"A group of misfits save the galaxy."
Ant-Man,Action Comedy,"A thief gains the power to shrink."
Frozen,Animation Family,"Two sisters discover the meaning of true love."
Finding Nemo,Animation Adventure,"A clownfish searches for his missing son."
Toy Story,Animation Comedy,"Toys come alive when humans are away."
The Lion King,Animation Drama,"A lion prince returns to reclaim his kingdom."
Moana,Animation Adventure,"A brave girl sails across the ocean."
Harry Potter and the Sorcerer's Stone,Fantasy Adventure,"A young wizard begins his magical education."
Harry Potter and the Chamber of Secrets,Fantasy Adventure,"Harry returns to Hogwarts to face a mysterious danger."
The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure,"A hobbit begins a quest to destroy a powerful ring."
The Hobbit,Fantasy Adventure,"Bilbo Baggins joins a journey to reclaim a kingdom."
Pirates of the Caribbean,Adventure Fantasy,"Captain Jack Sparrow searches for treasure."
Jurassic Park,Adventure Sci-Fi,"Dinosaurs escape in a theme park."
Jumanji,Adventure Fantasy,"A magical board game becomes reality."
The Jungle Book,Adventure Family,"A boy grows up among wild animals."
Aladdin,Fantasy Romance,"A poor boy discovers a magical lamp."
Beauty and the Beast,Fantasy Romance,"A young woman befriends a cursed prince."
